Year,ISO Alpha-2 Country code,Country name,Suspended parliament,Structure of parliament,Region,Structure & status of parliament,Chamber name (translated),Political system,Statutory number of members per country,Parliament name,Parliamentary term (years),IPU membership,Affiliation periods,Statutory number of members,Current number of members,Men,Women,Percentage of women,Population (in thousands),Gender quota,Election date(s)
2019,BB,Barbados,No,Bicameral,Americas,Lower chamber,House of Assembly,Parliamentary system,51,Parliament of Barbados (Parlement de Barbade),5,No,Not applicable,30,30,,6,20,284,No,5/24/18
2019,BY,Belarus,No,Bicameral,Europe,Lower chamber,House of Representatives,Presidential-Parliamentary,174,Natsionalnoye Sobranie (National Assembly),4,Yes,from 1995,110,110,66,44,40,9486,No,9/11/16
2019,BY,Belarus,No,Bicameral,Europe,Upper chamber,Council of the Republic,Presidential-Parliamentary,174,Natsionalnoye Sobranie (National Assembly),4,Yes,from 1995,64,60,45,15,25,9486,No,9/13/16
2019,BE,Belgium,No,Bicameral,Europe,Upper chamber,Senate,Parliamentary system,210,Parlement fédéral - Federaal Parlement - Föderales Parlament (Federal Parliament),5,Yes,from 1889,60,59,33,27,45.8,11288,Yes,7/4/19
2019,BE,Belgium,No,Bicameral,Europe,Lower chamber,House of Representatives,Parliamentary system,210,Parlement fédéral - Federaal Parlement - Föderales Parlament (Federal Parliament),5,Yes,from 1889,150,150,89,61,40.7,11288,Yes,5/26/19
2019,BZ,Belize,No,Bicameral,Americas,Upper chamber,Senate,Parliamentary system,45,National Assembly,5,No,Not applicable,13,14,11,3,21.4,359,No,11/13/15
2019,BZ,Belize,No,Bicameral,Americas,Lower chamber,House of Representatives,Parliamentary system,45,National Assembly,5,No,Not applicable,32,32,,3,9.4,359,No,11/4/15
2019,BJ,Benin,No,Unicameral,Sub-Saharan Africa,Lower chamber,National Assembly,Presidential system,83,Assemblée nationale (National Assembly),4,Yes,"1963
from 1981 to 1989
from 1992",83,83,77,6,7.2,10576,Yes,4/28/19
2019,BT,Bhutan,No,Bicameral,Asia,Upper chamber,National Council,Monarchy,72,Chi Tshog (Parliament),5,Yes,from 2013,25,25,21,4,16,787,No,4/20/18
2019,BT,Bhutan,No,Bicameral,Asia,Lower chamber,National Assembly,Monarchy,72,Chi Tshog (Parliament),5,Yes,from 2013,47,47,,7,14.9,787,No,10/18/18
2019,BO,Bolivia (Plurinational State of),No,Bicameral,Americas,Upper chamber,Chamber of Senators,Presidential system,166,Asamblea Legislativa Plurinacional (Plurinational Legislative Assembly),5,Yes,"1979
from 1983",36,36,,17,47.2,10725,Yes,10/20/19
2019,BO,Bolivia (Plurinational State of),No,Bicameral,Americas,Lower chamber,Chamber of Deputies,Presidential system,166,Asamblea Legislativa Plurinacional (Plurinational Legislative Assembly),5,Yes,"1979
from 1983",130,130,,69,53.1,10725,Yes,10/20/19
2019,BA,Bosnia and Herzegovina,No,Bicameral,Europe,Upper chamber,House of Peoples,Parliamentary system,57,Skupstina (Parliamentary Assembly),4,Yes,from 1994,15,15,12,3,20,3536,No,2/28/19
2019,BA,Bosnia and Herzegovina,No,Bicameral,Europe,Lower chamber,House of Representatives,Parliamentary system,57,Skupstina (Parliamentary Assembly),4,Yes,from 1994,42,42,33,9,21.4,3536,Yes,10/7/18
2019,BW,Botswana,No,Unicameral,Sub-Saharan Africa,Lower chamber,National Assembly,Parliamentary system,65,Parliament,5,Yes,from 1992,65,65,58,7,10.8,2209,No,10/23/19
2019,BR,Brazil,No,Bicameral,Americas,Upper chamber,Federal Senate,Presidential system,594,Congresso nacional (National Congress),8,Yes,from 1925,81,81,70,11,13.6,205962,No,10/7/18
2019,BR,Brazil,No,Bicameral,Americas,Lower chamber,Chamber of Deputies,Presidential system,594,Congresso nacional (National Congress),4,Yes,from 1925,513,513,438,75,14.6,205962,Yes,10/7/18
2019,BN,Brunei Darussalam,No,Unicameral,Asia,Lower chamber,Legislative Council,Monarchy,45,Majlis Mesyuarat Negara (Legislative Council),5,No,Not applicable,45,33,,3,9.1,418,No,1/13/17
2019,BG,Bulgaria,No,Unicameral,Europe,Lower chamber,National Assembly,Parliamentary system,240,Narodno sabranie (National Assembly),4,Yes,"from 1896 to 1949
from 1954",240,240,176,64,26.7,7177,,3/26/17
2019,BF,Burkina Faso,No,Unicameral,Sub-Saharan Africa,Lower chamber,Transitional Legislative Assembly,Presidential-Parliamentary,127,Parlement (Parliament),,Yes,"from 1972 to 1973
from 1979 to 1980
from 1993",127,127,110,17,13.4,18111,,11/29/15
2019,BI,Burundi,No,Bicameral,Sub-Saharan Africa,Upper chamber,Senate,Presidential system,160,Parlement (Parliament),5,Yes,"from 1985 to 1986
from 1994 to 1995
from 1999",39,39,,18,46.2,10199,Yes,7/24/15
2019,BI,Burundi,No,Bicameral,Sub-Saharan Africa,Lower chamber,National Assembly,Presidential system,160,Parlement (Parliament),5,Yes,"from 1985 to 1986
from 1994 to 1995
from 1999",121,121,,44,36.4,10199,Yes,6/29/15
2019,CV,Cabo Verde,No,Unicameral,Sub-Saharan Africa,Lower chamber,National Assembly,Parliamentary system,72,Assembleia Nacional (National Assembly),5,Yes,from 1982,72,72,54,18,25,533,Yes,3/20/16
2019,KH,Cambodia,No,Bicameral,Asia,Lower chamber,National Assembly,Parliamentary system,187,Parliament,5,Yes,from 1997,125,125,,25,20,15518,No,7/29/18
2019,KH,Cambodia,No,Bicameral,Asia,Upper chamber,Senate,Parliamentary system,187,Parliament,6,Yes,from 1997,62,62,52,10,16.1,15518,No,2/25/18
2019,CM,Cameroon,No,Bicameral,Sub-Saharan Africa,Lower chamber,National Assembly,Presidential-Parliamentary,280,Parlement - Parliament,5,Yes,from 1963,180,180,,56,31.1,22835,,9/30/13
2019,CM,Cameroon,No,Bicameral,Sub-Saharan Africa,Upper chamber,Senate,Presidential-Parliamentary,280,Parlement - Parliament,5,Yes,from 1963,100,100,,26,26,22835,No,3/25/18
2019,CA,Canada,No,Bicameral,Americas,Lower chamber,House of Commons,Parliamentary system,443,Parliament of Canada - Parlement du Canada,4,Yes,"from 1912 to 1932
from 1960",338,338,240,98,29,35950,Yes,10/19/15
2019,CF,Central African Republic,No,Unicameral,Sub-Saharan Africa,Lower chamber,National Assembly,Presidential-Parliamentary,140,Assemblée nationale (National Assembly),5,Yes,"from 1962 to 1965
from 1988 to 1992
from 1994 to 1997
2002
from 2017 to 2024
from 2024",140,140,,12,8.6,4546,Yes,2016-02-14 to 2016-03-31
2019,TD,Chad,No,Unicameral,Sub-Saharan Africa,Lower chamber,,Presidential system,188,,4,Yes,from 2011,188,162,137,25,15.4,14009,No,2011-02-13 to 2011-05-06
2019,CL,Chile,No,Bicameral,Americas,Upper chamber,Senate,Presidential system,205,Congreso Nacional (National Congress),8,Yes,"from 1958 to 1972
from 1990",50,43,,10,23.3,17763,Yes,11/19/17
2019,CL,Chile,No,Bicameral,Americas,Lower chamber,Chamber of Deputies,Presidential system,205,Congreso Nacional (National Congress),4,Yes,"from 1958 to 1972
from 1990",155,155,,35,22.6,17763,Yes,11/19/17
2019,CN,China,No,Unicameral,Asia,Lower chamber,National People's Congress,Communist system,3000,Quanguo Renmin Daibiao Dahui (National People's Congress),5,Yes,from 1984,3000,2975,2233,742,24.9,1397029,Yes,3/5/18
2019,CO,Colombia,No,Bicameral,Americas,Lower chamber,House of Representatives,Presidential system,280,Congreso (Congress),4,Yes,"from 1931 to 1934
from 1973 to 1976
from 1979",172,169,138,31,18.3,48229,Yes,2018-03-11 to 2018-03-18
2019,CO,Colombia,No,Bicameral,Americas,Upper chamber,Senate,Presidential system,280,Congreso (Congress),4,Yes,"from 1931 to 1934
from 1973 to 1976
from 1979",108,106,83,23,21.7,48229,Yes,2018-03-11 to 2018-03-18
2019,KM,Comoros,No,Unicameral,Sub-Saharan Africa,Lower chamber,Assembly of the Union,Presidential-Parliamentary,33,Assemblée de l'Union (Assembly of the Union),5,Yes,"from 1979 to 1987
from 1994 to 1996
from 2008 to 2010
from 2016",33,33,,2,6.1,777,No,2015-01-25 to 2015-02-22
2019,CG,Congo,No,Bicameral,Sub-Saharan Africa,Upper chamber,Senate,Presidential-Parliamentary,223,Parlement (Parliament),6,Yes,"from 1981 to 2024
from 2024",72,69,56,13,18.8,4996,Yes,8/31/17
2019,CG,Congo,No,Bicameral,Sub-Saharan Africa,Lower chamber,National Assembly,Presidential-Parliamentary,223,Parlement (Parliament),5,Yes,"from 1981 to 2024
from 2024",151,151,134,17,11.3,4996,Yes,2017-07-16 to 2017-07-30
2019,CR,Costa Rica,No,Unicameral,Americas,Lower chamber,Legislative Assembly,Presidential system,57,Asamblea Legislativa (Legislative Assembly),4,Yes,from 1971,57,57,,26,45.6,4808,Yes,2/4/18
2019,CI,Côte d'Ivoire,No,Bicameral,Sub-Saharan Africa,Upper chamber,Senate,Presidential-Parliamentary,354,Parlement (Parliament),5,Yes,"from 1968 to 1999
from 2001",99,99,80,19,19.2,23108,Yes,3/25/18
2019,CI,Côte d'Ivoire,No,Bicameral,Sub-Saharan Africa,Lower chamber,National Assembly,Presidential-Parliamentary,354,Parlement (Parliament),5,Yes,"from 1968 to 1999
from 2001",255,251,221,30,12,23108,Yes,12/18/16
2019,HR,Croatia,No,Unicameral,Europe,Lower chamber,Croatian Parliament,Parliamentary system,151,Hrvatski Sabor (Croatian Parliament),4,Yes,from 1992,151,151,122,29,19.2,4236,Yes,9/11/16
2019,CU,Cuba,No,Unicameral,Americas,Lower chamber,National Assembly of the People's Power,Communist system,605,Asamblea nacional del Poder popular (National Assembly of the People's Power),5,Yes,"from 1925 to 1932
from 1977",605,605,,322,53.2,11461,No,3/11/18
2019,CY,Cyprus,No,Unicameral,Europe,Lower chamber,House of Representatives,Presidential system,80,Vouli Antiprosopon (House of Representatives),5,Yes,from 1978,80,56,45,11,19.6,1161,Yes,5/22/16
2019,CZ,Czech Republic,No,Bicameral,Europe,Upper chamber,Senate,Parliamentary system,281,Parlament (Parliament),6,Yes,"from 1921 to 1949
from 1955",81,81,69,12,14.8,10604,Yes,2018-10-05 to 2018-10-13
2019,CZ,Czech Republic,No,Bicameral,Europe,Lower chamber,Chamber of Deputies,Parliamentary system,281,Parlament (Parliament),4,Yes,"from 1921 to 1949
from 1955",200,200,155,45,22.5,10604,Yes,2017-10-20 to 2017-10-21
2019,KP,Democratic People's Republic of Korea,No,Unicameral,Asia,Lower chamber,Supreme People's Assembly,Communist system,687,Choe Go In Min Hoe Ui (Supreme People's Assembly),5,Yes,from 1973,687,687,566,121,17.6,25244,,3/10/19
2019,CD,Democratic Republic of the Congo,No,Bicameral,Sub-Saharan Africa,Upper chamber,Senate,Presidential-Parliamentary,609,Parliament (Parlement),5,Yes,"1963
from 1966 to 1991
from 1994 to 1996
from 2004",109,109,86,23,21.1,76197,No,3/15/19
2019,CD,Democratic Republic of the Congo,No,Bicameral,Sub-Saharan Africa,Lower chamber,National Assembly,Presidential-Parliamentary,609,Parliament (Parlement),5,Yes,"1963
from 1966 to 1991
from 1994 to 1996
from 2004",500,500,436,64,12.8,76197,No,2018-12-30 to 2019-03-31
2019,DK,Denmark,No,Unicameral,Europe,Lower chamber,The Danish Parliament,Parliamentary system,179,Folketinget (Parliament),4,Yes,from 1889,179,179,108,71,39.7,5689,No,6/5/19
2019,DJ,Djibouti,No,Unicameral,Sub-Saharan Africa,Lower chamber,National Assembly,Presidential-Parliamentary,65,Assemblée nationale (National Assembly),5,Yes,"from 1981 to 2005
from 2010",65,65,,17,26.2,927,Yes,2/23/18
2019,DM,Dominica,No,Unicameral,Americas,Lower chamber,House of Assembly,Parliamentary system,32,House of Assembly,5,No,Not applicable,32,21,13,8,38.1,73,No,12/8/14
2019,DO,Dominican Republic,No,Bicameral,Americas,Upper chamber,Senate,Presidential system,222,Congreso Nacional de la República (National Congress of the Republic),4,Yes,"from 1979 to 1991
from 2005",32,32,,3,9.4,10528,No,5/15/16
2019,DO,Dominican Republic,No,Bicameral,Americas,Lower chamber,Chamber of Deputies,Presidential system,222,Congreso Nacional de la República (National Congress of the Republic),4,Yes,"from 1979 to 1991
from 2005",190,190,137,53,27.9,10528,Yes,5/15/16
2019,EC,Ecuador,No,Unicameral,Americas,Lower chamber,National Assembly,Presidential system,137,Asamblea Nacional (National Assembly),4,Yes,"from 1931 to 1932
from 1979",137,137,83,54,39.4,16144,Yes,2/19/17
2019,EG,Egypt,No,Unicameral,Middle East and North Africa,Lower chamber,House of Representatives,Presidential-Parliamentary,,,5,Yes,"from 1924 to 2012
from 2016",596,596,506,90,15.1,93778,No,2015-10-17 to 2015-12-02
2019,SV,El Salvador,No,Unicameral,Americas,Lower chamber,Legislative Assembly,Presidential system,84,Asamblea legislativa (Legislative Assembly),3,Yes,"from 1962 to 1978
from 1986",84,84,56,28,33.3,6312,Yes,3/4/18
2019,GQ,Equatorial Guinea,No,Bicameral,Sub-Saharan Africa,Upper chamber,Senate,Presidential-Parliamentary,170,Parlamento (Parliament),5,Yes,"from 1984 to 1991
from 2011",70,72,60,12,16.7,1175,No,11/12/17
2019,GQ,Equatorial Guinea,No,Bicameral,Sub-Saharan Africa,Lower chamber,Chamber of Deputies,Presidential-Parliamentary,170,Parlamento (Parliament),5,Yes,"from 1984 to 1991
from 2011",100,100,79,21,21,1175,No,11/12/17
2019,ER,Eritrea,No,Unicameral,Sub-Saharan Africa,Lower chamber,National Assembly,Presidential system,150,Hagerawi Baito (National Assembly),4,No,Not applicable,150,150,117,33,22,4847,Yes,2/1/94
2019,EE,Estonia,No,Unicameral,Europe,Lower chamber,The Estonian Parliament,Parliamentary system,101,Riigikogu (The Estonian Parliament),4,Yes,"from 1928 to 1938
from 1991",101,101,72,29,28.7,1315,No,3/3/19
2019,SZ,Eswatini,No,Bicameral,Sub-Saharan Africa,Upper chamber,Senate,Monarchy,100,Libandla (Parliament),5,Yes,from 2016,30,30,20,10,33.3,1319,Yes,10/23/18
2019,SZ,Eswatini,No,Bicameral,Sub-Saharan Africa,Lower chamber,House of Assembly,Monarchy,100,Libandla (Parliament),5,Yes,from 2016,70,73,66,7,9.6,1319,Yes,9/21/18
2019,ET,Ethiopia,No,Bicameral,Sub-Saharan Africa,Upper chamber,House of the Federation,Parliamentary system,700,,5,Yes,"from 1962 to 1974
from 1989",153,153,,49,32,99873,Yes,10/5/15
2019,ET,Ethiopia,No,Bicameral,Sub-Saharan Africa,Lower chamber,House of Peoples' Representatives,Parliamentary system,700,,5,Yes,"from 1962 to 1974
from 1989",547,547,,212,38.8,99873,No,5/24/15
2019,FJ,Fiji,No,Unicameral,Pacific,Lower chamber,Parliament,Parliamentary system,51,Parliament,4,Yes,"from 1997 to 1999
from 2002 to 2006
from 2015",51,51,41,10,19.6,892,No,11/14/18
2019,FI,Finland,No,Unicameral,Europe,Lower chamber,Parliament,Parliamentary system,200,Eduskunta - Riksdagen (Parliament),4,Yes,from 1920,200,200,108,92,46,5482,No,4/14/19
2019,FR,France,No,Bicameral,Europe,Upper chamber,Senate,Presidential-Parliamentary,925,Parlement (Parliament),6,Yes,from 1889,348,348,232,116,33.3,64457,Yes,9/24/17
2019,FR,France,No,Bicameral,Europe,Lower chamber,National Assembly,Presidential-Parliamentary,925,Parlement (Parliament),5,Yes,from 1889,577,577,349,228,39.5,64457,Yes,2017-06-11 to 2017-06-18
2019,GA,Gabon,No,Bicameral,Sub-Saharan Africa,Upper chamber,Transitional Senate,Presidential-Parliamentary,245,Parliament de la transition (Transitional Parlement),,Yes,from 1972,102,100,,18,18,1930,,12/13/14
2019,GA,Gabon,No,Bicameral,Sub-Saharan Africa,Lower chamber,Transitional National Assembly,Presidential-Parliamentary,245,Parliament de la transition (Transitional Parlement),,Yes,from 1972,143,142,121,21,14.8,1930,,2018-10-06 to 2018-10-27
2019,GM,Gambia (The),No,Unicameral,Sub-Saharan Africa,Lower chamber,National Assembly,Presidential system,58,National Assembly,5,Yes,from 2006,58,58,53,5,8.6,1978,No,4/6/17
2019,GE,Georgia,No,Unicameral,Europe,Lower chamber,Parliament,Parliamentary system,150,Sakartvelos Parlamenti (Parliament),4,Yes,"from 1997 to 2002
from 2005",150,149,128,21,14.1,3952,Yes,2016-10-08 to 2016-10-30
2019,DE,Germany,No,Bicameral,Europe,Lower chamber,German Bundestag,Parliamentary system,667,,4,Yes,"from 1890 to 1912
from 1921 to 1931
from 1951",598,709,488,221,31.2,81708,Yes,9/24/17
2019,GH,Ghana,No,Unicameral,Sub-Saharan Africa,Lower chamber,Parliament,Presidential system,275,Parliament,4,Yes,"from 1958 to 1965
from 1970 to 1971
from 1980 to 1981
from 1993",275,275,,36,13.1,27583,No,12/7/16
2019,GR,Greece,No,Unicameral,Europe,Lower chamber,Hellenic Parliament,Parliamentary system,300,Vouli Ton Ellinon (Hellenic Parliament),4,Yes,"from 1890 to 1936
from 1947 to 1966
from 1975",300,300,238,62,20.7,11218,Yes,7/7/19
2019,GD,Grenada,No,Bicameral,Americas,Upper chamber,Senate,Parliamentary system,28,Parliament,5,No,Not applicable,13,13,,4,30.8,107,No,4/27/18
2019,GD,Grenada,No,Bicameral,Americas,Lower chamber,House of Representatives,Parliamentary system,28,Parliament,5,No,Not applicable,15,15,,7,46.7,107,No,3/13/18
2019,GT,Guatemala,No,Unicameral,Americas,Lower chamber,Congress of the Republic,Presidential system,160,Congreso de la República (Congress of the Republic),4,Yes,"from 1961 to 1962
from 1979 to 1981
from 1986",160,158,128,30,19,16252,Yes,9/6/15
2019,GN,Guinea,No,Unicameral,Sub-Saharan Africa,Lower chamber,Transitional National Council,Presidential system,114,Conseil national de transition (Transitional National Council),,Yes,"from 1996 to 2006
2008
from 2014",114,114,88,26,22.8,12092,Yes,9/28/13
2019,GW,Guinea-Bissau,No,Unicameral,Sub-Saharan Africa,Lower chamber,People's National Assembly,Presidential system,102,Assembleia Nacional Popular (People's National Assembly),4,Yes,"from 2000 to 2002
from 2010",102,102,88,14,13.7,1771,Yes,3/10/19
2019,GY,Guyana,No,Unicameral,Americas,Lower chamber,National Assembly,Presidential-Parliamentary,69,Parliament of the Co-operative Republic of Guyana,5,Yes,"from 1981 to 1984
from 2016",69,69,45,24,34.8,769,No,5/11/15
2019,HT,Haiti,No,Bicameral,Americas,Upper chamber,Senate,Presidential system,149,Assemblée nationale (National Assembly),6,Yes,"from 1954 to 1959
from 1975 to 1985
from 2012 to 2023
from 2023",30,10,10,0,0,10711,Yes,2016-11-20 to 2017-01-29
2019,HT,Haiti,No,Bicameral,Americas,Lower chamber,Chamber of Deputies,Presidential system,149,Assemblée nationale (National Assembly),4,Yes,"from 1954 to 1959
from 1975 to 1985
from 2012 to 2023
from 2023",119,118,,3,2.5,10711,Yes,2015-08-09 to 2015-10-25
2019,HN,Honduras,No,Unicameral,Americas,Lower chamber,National Congress,Presidential system,128,Congreso Nacional (National Congress),4,Yes,"from 1986 to 1991
from 2011 to 2019
from 2019",128,128,,27,21.1,8961,Yes,11/26/17
2019,HU,Hungary,No,Unicameral,Europe,Lower chamber,National Assembly,Parliamentary system,199,Országgyülés (National Assembly),4,Yes,"from 1889 to 1949
from 1954",199,199,175,24,12.1,9784,Yes,4/8/18
2019,IS,Iceland,No,Unicameral,Europe,Lower chamber,Parliament,Parliamentary system,63,Althingi (Parliament),4,Yes,from 1951,63,63,,24,38.1,330,Yes,10/28/17
2019,IN,India,No,Bicameral,Asia,Upper chamber,Council of States,Parliamentary system,790,Sansad (Parliament),6,Yes,from 1949,245,240,215,25,10.4,1309054,No,2018-01-16 to 2018-07-02
2019,IN,India,No,Bicameral,Asia,Lower chamber,House of the People,Parliamentary system,790,Sansad (Parliament),5,Yes,from 1949,545,543,465,78,14.4,1309054,No,2019-04-11 to 2019-05-19
2019,ID,Indonesia,No,Unicameral,Asia,Lower chamber,House of Representatives,Presidential system,575,Dewan Perwakilan Rakyat (House of Representatives),5,Yes,"from 1922 to 1938
from 1952",575,575,458,117,20.3,258162,Yes,4/17/19
2019,IR,Iran (Islamic Republic of),No,Unicameral,Asia,Lower chamber,Islamic Parliament of Iran,Presidential-Parliamentary,290,Majles Shoraye Eslami (Islamic Parliament of Iran),4,Yes,"from 1930 to 1938
from 1949 to 1978
from 1981",290,289,,17,5.9,79360,No,2016-02-26 to 2016-04-29
2019,IQ,Iraq,No,Unicameral,Middle East and North Africa,Lower chamber,Council of Representatives of Iraq,Parliamentary system,329,Council of Representatives of Iraq,4,Yes,"from 1947 to 1962
from 1980 to 2002
from 2008",329,329,242,87,26.4,36116,Yes,5/12/18
2019,IE,Ireland,No,Bicameral,Europe,Lower chamber,House of Representatives,Parliamentary system,218,Oireachtas (Parliament),5,Yes,from 1923,158,158,125,33,20.9,4700,Yes,2/26/16
2019,IE,Ireland,No,Bicameral,Europe,Upper chamber,Senate,Parliamentary system,218,Oireachtas (Parliament),5,Yes,from 1923,60,60,41,19,31.7,4700,No,2016-04-25 to 2016-04-26
2019,IL,Israel,No,Unicameral,Middle East and North Africa,Lower chamber,Parliament,Parliamentary system,120,Knesset (Parliament),4,Yes,from 1950,120,120,92,28,23.3,8065,Yes,9/17/19
2019,IT,Italy,No,Bicameral,Europe,Lower chamber,Chamber of Deputies,Parliamentary system,951,Il Parlamento (Parliament),5,Yes,from 1889,630,630,405,225,35.7,59504,Yes,3/4/18
2019,IT,Italy,No,Bicameral,Europe,Upper chamber,Senate,Parliamentary system,951,Il Parlamento (Parliament),5,Yes,from 1889,321,320,210,110,34.4,59504,Yes,3/4/18
2019,JM,Jamaica,No,Bicameral,Americas,Upper chamber,Senate,Parliamentary system,84,Parliament,5,No,"from 1983 to 1996
from 2024",21,21,,5,23.8,2872,No,3/10/16
2019,JM,Jamaica,No,Bicameral,Americas,Lower chamber,House of Representatives,Parliamentary system,84,Parliament,5,No,"from 1983 to 1996
from 2024",63,63,,11,17.5,2872,No,2/25/16
2019,JP,Japan,No,Bicameral,Asia,Lower chamber,House of Representatives,Parliamentary system,713,Kokkai (National Diet),4,Yes,"from 1908 to 1938
from 1952",465,464,418,46,9.9,127975,No,10/22/17
2019,JP,Japan,No,Bicameral,Asia,Upper chamber,House of Councillors,Parliamentary system,713,Kokkai (National Diet),6,Yes,"from 1908 to 1938
from 1952",248,245,189,56,22.9,127975,No,7/21/19
2019,JO,Jordan,No,Bicameral,Middle East and North Africa,Lower chamber,House of Representatives,Monarchy,195,Majlis Al-Umma (National Assembly),4,Yes,from 1964,130,130,,20,15.4,9159,No,9/20/16
2019,JO,Jordan,No,Bicameral,Middle East and North Africa,Upper chamber,Senate,Monarchy,195,Majlis Al-Umma (National Assembly),4,Yes,from 1964,65,65,,10,15.4,9159,No,9/27/16
2019,KZ,Kazakhstan,No,Bicameral,Asia,Lower chamber,House of Representatives,Presidential-Parliamentary,154,Parlament (Parliament),5,Yes,from 1993,107,107,,29,27.1,17750,Yes,3/20/16
2019,KZ,Kazakhstan,No,Bicameral,Asia,Upper chamber,Senate,Presidential-Parliamentary,154,Parlament (Parliament),6,Yes,from 1993,47,47,,5,10.6,17750,No,6/28/17
